date,close,volume,ticker
2020-03-31,3865.0,11010,228810.KS
2020-04-01,3860.0,21957,228810.KS
2020-04-02,3960.0,25033,228810.KS
2020-04-03,4005.0,11317,228810.KS
2020-04-06,4130.0,20218,228810.KS
2020-04-07,4200.0,21831,228810.KS
2020-04-08,4265.0,3303,228810.KS
2020-04-09,4295.0,3840,228810.KS
2020-04-10,4580.0,19961,228810.KS
2020-04-13,4540.0,103176,228810.KS
2020-04-14,4625.0,29811,228810.KS
2020-04-16,4770.0,18979,228810.KS
2020-04-17,4825.0,30263,228810.KS
2020-04-20,4750.0,17768,228810.KS
2020-04-21,4665.0,88283,228810.KS
2020-04-22,4700.0,4742,228810.KS
2020-04-23,4715.0,6350,228810.KS
2020-04-24,4630.0,9092,228810.KS
2020-04-27,4725.0,8331,228810.KS
2020-04-28,4905.0,27570,228810.KS
2020-04-29,4885.0,33012,228810.KS
2020-05-04,4815.0,3453,228810.KS
2020-05-06,4915.0,21040,228810.KS
2020-05-07,4940.0,4464,228810.KS
2020-05-08,4895.0,84720,228810.KS
2020-05-11,4780.0,91476,228810.KS
2020-05-12,4690.0,21715,228810.KS
2020-05-13,4765.0,19801,228810.KS
2020-05-14,4705.0,10918,228810.KS
2020-05-15,4640.0,22628,228810.KS
2020-05-18,4690.0,10903,228810.KS
2020-05-19,4945.0,63684,228810.KS
2020-05-20,4945.0,14495,228810.KS
2020-05-21,4940.0,5414,228810.KS
2020-05-22,4795.0,108372,228810.KS
2020-05-25,4810.0,66203,228810.KS
2020-05-26,4895.0,74675,228810.KS
2020-05-27,4980.0,251637,228810.KS
2020-05-28,4830.0,304224,228810.KS
2020-05-29,4795.0,17053,228810.KS
2020-06-01,4875.0,41995,228810.KS
2020-06-02,4920.0,26473,228810.KS
2020-06-03,4945.0,42430,228810.KS
2020-06-04,4900.0,50630,228810.KS
2020-06-05,4935.0,42552,228810.KS
2020-06-08,5015.0,93158,228810.KS
2020-06-09,5060.0,69418,228810.KS
2020-06-10,5040.0,30736,228810.KS
2020-06-11,4945.0,84337,228810.KS
2020-06-12,4750.0,114698,228810.KS
2020-06-15,4390.0,84464,228810.KS
2020-06-16,4630.0,62549,228810.KS
2020-06-17,4635.0,51262,228810.KS
2020-06-18,4590.0,22685,228810.KS
2020-06-22,4600.0,10546,228810.KS
2020-06-23,4615.0,48329,228810.KS
2020-06-24,4615.0,24522,228810.KS
2020-06-25,4525.0,14144,228810.KS
2020-06-26,4545.0,20732,228810.KS
2020-06-29,4485.0,32645,228810.KS
